desvio_diametro_mm,desvio_peso_g,peca_aprovada
0.427,0.112,0
0.1,0.023,1
0.35,0.099,0
0.368,0.296,0
0.26,0.216,0
0.445,0.447,0
0.561,0.411,0
0.556,0.177,0
0.276,0.137,0
0.077,0.196,1
0.591,0.299,0
0.505,0.141,0
0.084,0.316,0
0.553,0.211,0
0.523,0.281,0
0.316,0.224,0
0.359,0.154,0
0.245,0.475,0
0.042,0.384,0
0.208,0.079,1
0.484,0.436,0
0.013,0.249,1
0.207,0.448,0
0.245,0.402,0
0.327,0.218,0
0.553,0.021,0
0.214,0.142,0
0.215,0.275,0
0.445,0.32,0
0.277,0.136,0
0.143,0.078,1
0.277,0.419,0
0.093,0.492,0
0.114,0.268,0
0.304,0.094,0
0.257,0.143,0
0.55,0.019,0
0.224,0.458,0
0.353,0.068,0
0.383,0.292,0
0.018,0.144,1
0.401,0.282,0
0.115,0.329,0
0.577,0.417,0
0.098,0.111,1
0.255,0.015,1
0.06,0.077,1
0.598,0.451,0
0.306,0.438,0
0.361,0.303,0
0.05,0.304,0
0.452,0.336,0
0.134,0.096,1
0.54,0.458,0
0.131,0.215,1
0.123,0.198,1
0.032,0.264,1
0.289,0.033,1
0.343,0.091,0
0.049,0.372,0
0.468,0.051,0
0.277,0.306,0
0.319,0.13,0
0.27,0.201,0
0.246,0.151,0
0.34,0.184,0
0.102,0.362,0
0.117,0.156,1
0.518,0.288,0
0.568,0.243,0
0.23,0.335,0
0.17,0.469,0
0.39,0.369,0
0.251,0.115,0
0.025,0.025,1
0.102,0.139,1
0.432,0.302,0
0.399,0.035,0
0.026,0.253,1
0.141,0.302,0
0.146,0.174,1
0.406,0.388,0
0.022,0.062,1
0.071,0.047,1
0.482,0.367,0
0.115,0.253,0
0.395,0.347,0
0.151,0.223,0
0.069,0.131,1
0.153,0.411,0
0.436,0.402,0
0.515,0.35,0
0.5,0.143,0
0.244,0.299,0
0.404,0.187,0
0.131,0.055,1
0.183,0.459,0
0.539,0.077,0
0.018,0.476,0
0.06,0.229,1
