palavra_oferta,palavra_urgente,contato_conhecido,eh_spam
1,0,0,1
0,1,1,0
0,1,0,1
1,1,1,1
1,1,0,1
0,1,1,0
0,1,0,1
1,0,0,1
0,1,1,0
0,0,0,0
1,0,0,1
1,0,1,0
1,0,1,0
0,1,0,1
1,1,1,1
0,1,0,1
0,0,0,0
1,0,0,1
1,0,1,0
1,0,1,0
1,1,1,1
1,1,1,1
0,1,0,1
0,0,0,0
0,1,0,1
0,1,0,1
1,1,0,1
0,1,1,0
1,0,0,1
1,0,0,1
1,0,0,1
1,1,1,1
1,0,1,0
0,0,0,0
0,0,0,0
1,0,1,0
0,1,0,1
0,1,1,0
1,0,1,0
0,0,0,0
1,0,0,1
1,0,1,0
1,0,0,1
0,0,0,0
0,0,1,0
1,1,1,1
0,1,1,0
1,0,1,0
1,0,0,1
1,1,0,1
0,1,1,0
0,1,0,1
1,1,0,1
0,0,1,0
0,0,0,0
1,1,0,1
1,0,0,1
1,1,0,1
1,1,0,1
0,1,0,1
1,0,0,1
1,1,1,1
0,0,1,0
1,1,0,1
1,1,1,1
1,0,0,1
1,1,0,1
1,1,1,1
0,0,0,0
0,0,1,0
1,0,0,1
1,0,1,0
1,0,0,1
1,1,1,1
1,0,0,1
1,0,1,0
1,1,0,1
1,0,0,1
1,1,1,1
1,0,0,1
1,0,1,0
0,1,1,0
0,1,0,1
0,1,1,0
1,1,0,1
0,1,1,0
0,0,0,0
1,0,0,1
0,1,1,0
1,1,1,1
0,1,0,1
0,0,1,0
1,0,0,1
0,1,0,1
0,0,0,0
1,1,0,1
1,1,0,1
0,0,0,0
1,1,1,1
0,1,1,0
